source,title_words,title_is_question,words,read_min,paras,para_median_words,para_p90_words,lead_words,h2,h3,heads,words_per_section,head_question_pct,head_median_words,code_blocks,tables,images,lists,list_items,quotes,links_per_1kw,nums_per_100w,nums_in_lead_150,nums_per_100w_body,wps_median,wps_p90,pct_sent_over_30,pct_sent_under_12,we_per_1kw,you_per_1kw,i_per_1kw,emdash_per_1kw,has_code,has_chart
anthropic,13,False,366,1.6,7,48,100,48,1,3,4,73,0,6.0,0,0,1,0,0,0,21.9,2.73,5,2.31,25.5,34,21.4,7.1,65.6,0.0,0.0,13.7,False,True
anthropic,3,False,1009,4.4,20,49.5,74,61,3,5,8,112,0,5.5,0,0,1,0,0,0,10.9,0.79,4,0.47,20,33,12.2,16.3,46.6,0.0,0.0,8.9,False,True
anthropic,5,False,1129,4.9,22,49.0,89,46,6,6,12,87,0,3.0,0,0,1,4,13,1,6.2,0.53,2,0.41,21,33,17.6,13.7,15.9,0.0,0.0,5.3,False,True
anthropic,3,False,1267,5.5,22,59.0,92,44,5,3,8,141,12,6.0,0,0,1,3,11,0,14.2,0.16,1,0.09,22,38,28.3,13.2,53.7,0.0,0.0,4.7,False,True
anthropic,9,False,1132,4.9,20,54.0,101,35,4,8,12,87,8,6.5,0,0,1,6,22,0,8.0,0.35,1,0.31,21,33,13.2,11.3,45.1,0.0,0.0,0.9,False,True
anthropic,10,False,449,2.0,13,35,44,44,4,3,7,56,0,6,0,0,2,1,3,0,42.3,3.12,4,3.34,18,30,8.7,30.4,22.3,4.5,0.0,6.7,False,True
anthropic,6,False,1152,5.0,16,62.5,111,60,6,3,9,115,0,5,0,0,4,0,0,3,17.4,2.17,0,2.5,25,34,18.4,8.2,47.7,0.9,0.0,4.3,False,True
anthropic,7,False,646,2.8,2,323.0,617,617,1,3,4,129,0,6.0,0,0,2,0,0,0,13.9,1.08,1,1.21,35.5,49,61.1,0.0,24.8,0.0,0.0,1.5,False,True
anthropic,9,False,1010,4.4,25,44,66,15,4,3,7,126,0,4,0,0,12,2,8,0,9.9,0.2,2,0.0,19.0,28,5.8,13.5,13.9,3.0,0.0,0.0,False,True
anthropic,5,False,460,2.0,8,61.0,112,80,1,3,4,92,0,6.0,0,0,1,2,8,0,32.6,1.74,4,1.29,24,37,26.3,15.8,32.6,0.0,0.0,6.5,False,True
anthropic,8,False,316,1.4,8,36.5,67,44,2,3,5,53,0,6,0,0,2,1,4,0,38.0,1.9,4,1.2,21.0,37,14.3,7.1,50.6,0.0,0.0,0.0,False,True
anthropic,10,False,2095,9.1,31,63,112,76,4,4,8,233,0,6.5,0,0,1,0,0,0,8.1,0.67,1,0.67,20,35,17.9,18.9,7.6,1.0,1.4,11.9,False,True
anthropic,3,False,1939,8.4,50,39.0,70,69,8,10,18,102,6,3.0,0,0,16,16,42,0,8.8,0.15,1,0.11,19.0,31,10.2,10.2,20.1,10.8,0.0,3.1,False,True
anthropic,9,False,378,1.6,7,60,79,62,1,3,4,76,0,6.0,0,0,1,0,0,0,13.2,1.32,4,0.44,30.0,59,50.0,8.3,58.2,0.0,0.0,10.6,False,True
anthropic,13,False,231,1.0,7,31,49,39,1,3,4,46,0,6.0,0,0,1,0,0,0,34.6,0.0,0,0.0,20.0,31,10.0,0.0,21.6,0.0,0.0,0.0,False,True
anthropic,5,False,1216,5.3,18,57.0,119,55,2,5,7,152,0,6,0,0,3,0,0,0,8.2,1.89,6,1.59,26.5,41,26.1,6.5,36.2,1.6,0.0,10.7,False,True
anthropic,6,False,253,1.1,7,31,77,33,1,3,4,51,0,6.0,0,0,2,1,3,0,55.3,1.98,1,3.88,20.0,33,16.7,16.7,15.8,0.0,0.0,0.0,False,True
anthropic,6,False,1475,6.4,28,46.5,98,53,6,6,12,113,0,2.5,0,0,12,3,21,0,23.1,2.78,4,2.79,21.0,39,28.1,10.9,28.5,8.8,0.7,6.1,False,True
anthropic,12,False,409,1.8,7,54,96,96,4,3,7,51,0,6,0,0,1,0,0,0,19.6,0.73,2,0.39,24.5,37,18.8,6.2,19.6,0.0,0.0,2.4,False,True
anthropic,9,False,896,3.9,15,55,78,49,1,7,8,100,0,3.5,0,0,1,0,0,0,11.2,0.45,1,0.4,24.0,35,25.0,11.1,42.4,0.0,0.0,6.7,False,True
anthropic,8,False,1967,8.6,30,52.5,112,76,0,7,7,246,0,2,1,0,2,0,0,2,0.5,1.63,3,1.6,20.5,41,35.0,17.5,10.7,0.0,0.0,2.0,True,True
anthropic,7,False,270,1.2,6,52.5,73,54,1,3,4,54,0,6.0,0,0,2,1,4,0,22.2,0.0,0,0.0,21.5,33,25.0,8.3,11.1,25.9,3.7,3.7,False,True
anthropic,8,False,356,1.5,9,46,55,49,2,3,5,59,0,6,0,0,1,0,0,0,28.1,0.28,1,0.0,21.5,41,18.8,18.8,36.5,0.0,0.0,5.6,False,True
anthropic,6,False,1820,7.9,43,40,65,24,6,3,9,182,0,4,0,0,8,1,3,0,5.5,3.13,0,3.41,17,27,4.9,25.2,41.8,1.6,0.0,2.7,False,True
anthropic,11,False,397,1.7,7,57,83,57,1,4,5,66,0,6,0,0,1,0,0,0,12.6,0.0,0,0.0,26.0,40,25.0,12.5,20.2,0.0,0.0,2.5,False,True
anthropic,5,False,1956,8.5,31,52,102,46,9,13,22,85,77,6.0,0,0,1,2,8,0,7.2,0.77,0,0.83,19.0,38,20.5,20.5,14.3,3.6,0.0,6.6,False,True
anthropic,4,False,775,3.4,15,44,79,30,5,3,8,86,0,4.0,0,0,4,0,0,0,16.8,0.0,0,0.0,23.0,42,16.7,10.0,32.3,0.0,0.0,7.7,False,True
anthropic,12,False,597,2.6,12,52.5,70,47,4,6,10,54,0,6.0,0,0,1,1,3,0,26.8,1.17,1,1.34,27,39,30.4,8.7,35.2,0.0,0.0,5.0,False,True
anthropic,10,False,5086,22.1,63,76,128,48,8,9,17,283,6,6,0,0,1,8,29,0,5.9,0.22,0,0.22,25,40,27.6,6.5,38.7,2.8,0.2,0.4,False,True
anthropic,12,False,577,2.5,9,66,113,89,3,3,6,82,0,4.0,0,0,1,0,0,0,12.1,1.39,2,1.41,25,44,33.3,9.5,15.6,0.0,0.0,1.7,False,True
anthropic,4,False,738,3.2,16,37.5,112,10,5,3,8,82,0,5.0,0,0,49,3,13,28,21.7,4.61,6,4.76,21.0,33,18.8,6.2,32.5,0.0,0.0,12.2,False,True
anthropic,4,False,700,3.0,12,48.5,101,33,7,3,10,64,10,3.5,0,0,17,2,6,11,17.1,3.71,8,3.27,20,31,12.1,15.2,22.9,0.0,0.0,4.3,False,True
anthropic,10,False,598,2.6,10,59.5,108,81,4,3,7,75,29,5,0,0,1,0,0,0,21.7,0.67,3,0.22,22.0,37,25.0,8.3,28.4,0.0,0.0,3.3,False,True
anthropic,10,False,247,1.1,7,36,48,48,1,3,4,49,0,6.0,0,0,1,2,10,0,48.6,1.21,3,0.0,22.5,47,20.0,10.0,40.5,0.0,0.0,4.0,False,True
anthropic,8,False,494,2.1,9,57,92,63,3,3,6,71,0,6.0,0,0,0,0,0,0,28.3,0.0,0,0.0,23.5,31,13.6,4.5,20.2,0.0,0.0,8.1,False,False
anthropic,14,False,1239,5.4,34,35.5,67,49,1,7,8,138,12,3.0,3,2,4,9,24,0,4.0,1.53,0,1.74,28,48,39.0,7.3,18.6,4.8,0.0,5.6,True,True
anthropic,6,False,3887,16.9,61,62,105,132,5,4,9,389,0,5,0,1,10,1,1,0,6.2,0.39,0,0.4,19.0,32,11.5,22.0,16.5,3.6,0.0,7.5,False,True
